Generation,WOC,WOB,WMMd,WMMr,W_average
0,0.6072,-0.9421,-0.8178,-1.20494,-0.731198
1,0.20621281127950786,-0.6764649177733075,-0.3402628871519716,-0.809807670156664,-0.28570917051731687
2,0.0018155898328497955,-0.5345555810063576,-0.052250226736674676,-0.5931390778494873,-0.15447937735160455
3,-0.04153374687424094,-0.4937385675891337,0.0686023446666375,-0.5399717007199022,-0.09158942899344513
4,-0.017211744120099737,-0.4959260547472323,0.11501863745884067,-0.5575116218195998,-0.028638454901010045
5,0.02550862268862497,-0.5119708236077974,0.12932010312050046,-0.5954777745736364,0.027983319595144752
6,0.06339509952783628,-0.5282744776356434,0.13079276218678104,-0.6300804396370272,0.06902166562017016
7,0.08949534939741244,-0.5401337719239703,0.12854618270371487,-0.6540298641148827,0.09422622116818802
8,0.10509799361163363,-0.5474351467315353,0.12615871198775297,-0.6683102240386152,0.10815448732116072
9,0.11366304999379584,-0.5515147747147586,0.12452018994429892,-0.6761048218510616,0.115398355809323
10,0.11812832816045105,-0.5536650437004645,0.1235703688195231,-0.6801385579944417,0.11904401163314819
11,0.12038480698646792,-0.5547590091093908,0.12306618754433796,-0.6821599753872771,0.12084739540317072
12,0.12150402961398221,-0.5553038137666014,0.12281184322538663,-0.6831536795182327,0.12173164701997745
13,0.1220531239921121,-0.5555717037500851,0.12268741204469147,-0.683636721269632,0.12216337491222504
14,0.12232087805824454,-0.5557024812189222,0.12262765173671708,-0.6838700992473761,0.12237379715462456
15,0.1224510311942053,-0.5557660757720955,0.12259926247892872,-0.683982517154056,0.1224763102316165
16,0.12251422127718992,-0.5557969486384403,0.1225858569528786,-0.6840366207018416,0.12252627367176869
17,0.12254489454568973,-0.5558119295054169,0.12257954300860407,-0.6840626651584558,0.12255063943439966
18,0.12255979233892256,-0.5558192019858772,0.12257657019501744,-0.6840752161090868,0.12256253251308298
19,0.12256703293824911,-0.5558227343548666,0.1225751705190028,-0.6840812715523321,0.12256834269366793
20,0.12257055991617594,-0.5558244540184007,0.12257450861981822,-0.6840842017917543,0.12257118619019139
21,0.12257227651261893,-0.555825290409106,0.12257419637507239,-0.6840856188277462,0.1225725770501759
22,0.12257311114514224,-0.5558256968426178,0.12257404862823762,-0.6840863040176797,0.12257325612529343
23,0.12257351912419878,-0.5558258953668019,0.12257397851488672,-0.684086637157121,0.12257358962034763
24,0.12257372126665178,-0.5558259937474109,0.12257394405325495,-0.6840868017413094,0.12257375493058216
0,0.12257372126665178,-0.5558259937474109,-1.288626055946745,-0.6840868017413094,-0.4897391193677364
1,-0.38142168676839794,-0.26946496799426856,-0.9144476578041787,-0.16863695661717681,-0.5088637889352127
2,-0.5411836500817191,-0.17869113229516842,-0.7958365527332505,-0.005244057390947132,-0.5863439517988381
3,-0.6088665063063334,-0.14023497850682554,-0.745587260203134,0.06397700995932287,-0.6295358576045402
4,-0.6426458160122919,-0.12104221614427924,-0.7205088690661343,0.09852396666197305,-0.6534003452347242
5,-0.6610540294781266,-0.11058305441502603,-0.7068425079687831,0.11735043431967429,-0.6670523253520552
6,-0.6715936578073565,-0.10459472291212246,-0.6990182592627865,0.1281293999695472,-0.6750740728860035
