Generation,nOC,nOB,nMMd,nMMr,total nMM
0.0,410.0,490.0,400.0,0.0,400.0
1.0344827586206897,186.84364618779628,454.65554343547797,497.17448709247634,0.06703635832320856,497.24152345079955
2.0689655172413794,122.60968491522047,420.1501763136928,530.9342477150293,0.15127587101600273,531.0855235860453
3.1034482758620694,113.10967990937033,388.0062802739974,543.873661192137,0.24201318394012922,544.1156743760771
4.137931034482759,121.90887818195884,358.27327388328496,556.5810446223522,0.34163425744983084,556.9226788798021
5.172413793103448,136.8918287555422,330.82704120418794,575.8537886103056,0.4533551969685829,576.3071438072742
6.206896551724139,154.2918408882383,305.5065388319528,603.3985433314563,0.5792814324182777,603.9778247638745
7.241379310344828,173.06279576644656,282.1506670109085,639.5441514513022,0.7206486471715601,640.2648000984738
8.275862068965518,192.99084844110044,260.60754450506647,684.3885815327469,0.8781417568455766,685.2667232895925
9.310344827586208,214.08319664539553,240.73626563961315,738.0856324078376,1.0520689016766862,739.1377013095142
10.344827586206897,236.37885925345194,222.40670115282236,800.8843948372657,1.2424497822874034,802.1268446195531
11.379310344827587,259.8949821778233,205.49882836573164,873.106149852119,1.4490686954521166,874.555218547571
12.413793103448278,284.6150212026679,189.90198366425327,955.1100217544648,1.67151582980531,956.7815375842702
13.448275862068966,310.4890506019222,175.51413969831492,1047.2601765551085,1.9092252789393176,1049.169401834048
14.482758620689657,337.43718271484147,162.2412299149375,1149.8968410916632,2.1615116700189043,1152.058352761682
15.517241379310345,365.35357717389394,149.99652462132218,1263.3111149388026,2.4276047029450494,1265.7387196417476
16.551724137931036,394.1104393824782,138.70005540640196,1387.723178893817,2.7066803691523607,1390.4298592629693
17.586206896551726,423.56191379174726,128.27808590764545,1523.2637440996973,2.9978875952940034,1526.2616316949914
18.620689655172416,453.54786993491626,118.66262398368724,1669.958656663865,3.300369620799556,1673.2590262846645
19.655172413793103,483.8975482659275,109.79097266764876,1827.7167479784705,3.6132797594594006,1831.3300277379299
20.689655172413794,514.4330384292488,101.60531666579642,1996.320989478893,3.9357916479287187,2000.2567811268216
21.724137931034484,544.9725481856118,94.05234167510605,2175.4229843282906,4.267104408575703,2179.690088736866
22.758620689655174,575.3334053626445,87.08288357047843,2364.540763489195,4.606443422175857,2369.1472069113706
23.793103448275865,605.3347700923734,80.65160523675438,2563.0597701326046,4.953057517315686,2568.0128276499204
24.827586206896555,634.8000351754778,74.7166986389995,2770.2368480082673,5.306213459255502,2775.543061467523
25.862068965517242,663.5589092520263,69.23961030426607,2985.2069757590552,5.665188620008436,2990.8721643790636
26.896551724137932,691.4491907380477,64.1847882281412,3206.992438909402,6.029262655047757,3213.02170156445
27.931034482758623,718.3182514518269,59.519448520570705,3434.5140948978737,6.397708921480975,3440.9118038193546
28.965517241379313,744.0242518773607,55.21335976521272,3666.604408694144,6.769786248852451,3673.3741949429964
30.0,768.437115786727,51.238645849410794,3902.021714150412,7.144731644755715,3909.166445795168
30.0,791.3722874733612,47.548137907914715,3153.036209518632,7.586353172078533,3160.6225626907103
31.0,720.5122176086597,44.17587242266019,2550.781964397135,8.016866943256257,2558.7988313403916
32.0,646.9744132748349,41.081617841439545,2065.9684064519893,8.411938676892998,2074.3803451288823
33.0,578.6926693336948,38.24222627573105,1675.4119746418064,8.784413253959944,1684.1963878957663
34.0,516.7531284954384,35.63738107829822,1360.5542750411992,9.147854927711789,1369.7021299689109
35.0,461.23784633067544,33.24840512675726,1106.5208677518747,9.514124581342145,1116.034992333217
36.0,411.87503525713834,31.058059308676885,901.3849419679461,9.893666442486992,911.2786084104331
37.0,368.2239612749263,29.050428006471144,735.5797913301724,10.295947286091588,745.875738616264
38.0,329.7713908025516,27.21081818808483,601.4290075694578,10.729845622948696,612.1588531924065
39.0,295.98778497708224,25.525665840735016,492.77062014469493,11.203990045744437,503.97461019043936
40.0,266.35955433203867,23.9824489620489,404.6563062348126,11.727060634795578,416.38336686960815
41.0,240.40651555481364,22.569606763917296,333.1106166028655,12.308066466462636,345.41868306932815
42.0,217.69021425943058,21.276464773486158,274.93819746385486,12.956610581573472,287.89480804542836
43.0,197.8166919616647,20.0931655160935,227.56940587075724,13.683152447229208,241.25255831798646
44.0,180.43596865724479,19.010604468832906,188.9366442349911,14.499277015903498,203.43592125089458
45.0,165.23968055158267,18.020370982195672,157.37527864685467,15.417978895173587,172.79325754202824
46.0,151.95777833699063,17.11469387928435,131.54423483176365,16.453969835986722,147.99820466775037
47.0,140.35484693482235,16.286391455623452,110.36234765762984,17.62401768154611,127.98636533917595
48.0,130.22638537574733,15.528825616097496,92.95732501221356,18.94732505434261,111.90465006655617
49.0,121.39524263305672,14.835859897814576,78.62481434120399,20.44595636268603,99.07077070389002
50.0,113.70831415812715,14.201821137826167,66.79556185945208,22.145322151312417,88.94088401076449
51.0,107.03354664384757,13.621464552039917,57.00905569296681,24.074730376782185,81.083786069749
52.0,101.25726339959235,13.089941996070264,48.89236515166424,26.268014832349664,75.1603799840139
53.0,96.28180191839418,12.60277318024821,42.143145082118274,28.76425165421136,70.90739673632963
54.0,92.02344364622257,12.155819609970578,36.51597967437834,31.608575586864916,68.12455526124326
55.0,88.41061025633901,11.74526101976159,31.811404479731348,34.85310844458809,66.66451292431944
56.0,85.38229867293079,11.367574065889372,27.867076954846354,38.55801295298031,66.42508990782667
57.0,82.88672722817354,11.019513039379227,24.55067115090758,42.792685862675036,67.34335701358262
58.0,80.8801667357179,10.698092360135474,21.754156465765774,47.637104869870896,69.39126133563667
59.0,79.32593232004925,10.40057061490568,19.389187871985335,53.18334442828751,72.57253230027285
60.0,78.19351417802872,10.124435908061708,17.383389081973377,59.53727596791649,76.92066504988986
61.0,77.457827836418,9.867392305339193,15.677353398860735,66.82046832178227,82.497821720643
62.0,77.09856677362149,9.627347167016046,14.22222167669822,75.17230427859319,89.39452595529141
