GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,3.0000327414557733,4.067680156454481,3.0000000014973702,29.8762472230149
0.09,3.0616054483173523,4.002858265009284,3.0000000004320566,29.86638727851018
0.1,3.001330918180665,4.0001195320314835,3.000002146671628,29.85556866066106
0.11,3.000051292489926,2.9987398840074952,3.0000237805888235,30.000441810307443
0.12,3.000110706615727,2.9996101059725255,3.0000114520855776,29.96653064578644
0.13,3.0000000758463354,3.570317397501512,3.0000001602576063,29.869725131585653
0.14,3.0714055693506617,3.000069418828455,2.0000226184292464,29.392067401712747
0.15000000000000002,3.0731066217399334,2.924131075263547,3.000000238110437,29.911585986806095
0.16,3.1117956806570537,2.8880664228089072,3.0000054816693744,29.903439747751783
0.16999999999999998,3.0000144339236536,2.9688100378406035,3.00002888906607,29.89212245478918
0.18,3.0331447311843744,2.9568428569817744,3.000000022103716,29.892648940836914
0.19,3.049894373455797,2.938415941312681,3.00000000244519,29.897199809948745
0.2,3.8834503003382643,3.0000043825030396,2.000008253931423,29.615256239570297
0.21000000000000002,3.000020357863738,2.81981849952623,3.0000002002606543,29.91579521474079
0.22000000000000003,3.0000133567992866,2.8062125756558833,3.0000000753725224,29.92898880620787
0.22999999999999998,3.000000133953546,2.7488772912802357,3.0000003665954855,29.944808354953317
0.24,3.0000012676254695,2.6948269645684686,3.0000003095708276,29.96278596811534
0.25,3.00000545813515,2.64882084847399,3.0000000549569896,29.982748650197323
0.26,3.000000074642049,2.5844832723117186,3.000001042643433,30.00447603132811
0.27,3.000009418045896,2.5184264548701107,3.0000001020159894,30.02787084275969
